,vk_id,name,club_id,post_id,source_vk,title,body,short_body,picture,views,date
156252283_398,156252283_398,Киберспортивный клуб | RSTU,156252283,398,vk.com/wall-156252283_398,"🚨🚨🚨Киберспортивный клуб RSTU, поздравляет всех студентов и игроков нашего университета с Новым Годом.🚨🚨🚨 За этот год мы проделали очень много работы:поучавствовали на ВКСЛ🏆,провели два красивейших киберсезона в нашем университете🥁🥁, а совсем недавно один из наших студентов открыл киберклуб, который скорее всего, да даже не скорее-будет лучшим в городе!💣 И хочется всем пожелать, чтобы в наступающем году с нами произошло то самое чудо, о котором мы все так мечтаем. Хоть у каждого оно свое, но оно обязательно самое необходимое и самое важное.🎄🎄🎄 Желаю, чтобы все мы были живы и здоровы, чтобы занимались тем, что приносит нам удовольствие. Желаю достигать новых вершин✈ и самореалиазовываться. А еще мы хотим пожелать побольше радостных моментов, которые перейдут в приятные воспоминания, и встреч с преданными друзьями и любимыми домочадцами.С Новым 2020 годом, киберкотлеты🎮🎮🎮","🚨🚨🚨Киберспортивный клуб RSTU, поздравляет всех студентов и игроков нашего университета с Новым Годом.🚨🚨🚨 За этот год мы проделали очень много работы:поучавствовали на ВКСЛ🏆,провели два красивейших киберсезона в нашем университете🥁🥁, а совсем недавно один из наших студентов открыл киберклуб, который скорее всего, да даже не скорее-будет лучшим в городе!💣 И хочется всем пожелать, чтобы в наступающем году с нами произошло то самое чудо, о котором мы все так мечтаем. Хоть у каждого оно свое, но оно обязательно самое необходимое и самое важное.🎄🎄🎄 Желаю, чтобы все мы были живы и здоровы, чтобы занимались тем, что приносит нам удовольствие. Желаю достигать новых вершин✈ и самореалиазовываться. А еще мы хотим пожелать побольше радостных моментов, которые перейдут в приятные воспоминания, и встреч с преданными друзьями и любимыми домочадцами.С Новым 2020 годом, киберкотлеты🎮🎮🎮","🚨🚨🚨Киберспортивный клуб RSTU, поздравляет всех студентов и игроков нашего университета с Новым Годом.🚨🚨🚨 За этот год мы проделали очень много",https://sun9-65.userapi.com/c857024/v857024138/34a4a/IlJ7vWGElW4.jpg,1138,1577784490
59636816_962,59636816_962,ГИК: Герценовский Игровой Клуб,59636816,962,vk.com/wall-59636816_962,🎄 Дорогие друзья! Герценовский Игровой Клуб спешит поздравить вас с наступающим 2020 годом! ,"🎄 Дорогие друзья! Герценовский Игровой Клуб спешит поздравить вас с наступающим 2020 годом! 

⛄ Нам очень хочется поблагодарить вас за этот невероятно мощный и яркий год! Мы провели множество мероприятий, но ничего бы этого не было без вас! Ваши улыбки, доброта и заинтересованность помогают нам активно развиваться и становиться лучше! Мы любим вас всей душой, ведь ГИК — не просто студенческое объединение, ГИК — это семья!

🎁 Пусть в новом году все ваши мечты исполнятся, вы сможете достигнуть всех поставленных целей, познакомитесь с интересными людьми и просто будете счастливы! 

🥂 С наступающим Новым Годом, друзья! 

❤️ Оставляйте свои новогодние пожелания в комментариях!","🎄 Дорогие друзья! Герценовский Игровой Клуб спешит поздравить вас с наступающим 2020 годом! 

⛄ Нам очень хочется поблагодарить вас за",https://sun9-64.userapi.com/c855216/v855216089/1bd607/EKNPhpvymks.jpg,571,1577824420
67877749_6167,67877749_6167,Киберспортивный клуб CyberBonch,67877749,6167,vk.com/wall-67877749_6167,Дорогие друзья и киберспортмены!,"Дорогие друзья и киберспортмены!
Киберспортивный клуб “CyberBonch” поздравляет вас с новым годом!
Желаем вам новых свершений, удач и побед!
Готовы к следующему десятилетию?
В 2020 году будем радовать вас крутым контентом, интересными турнирами и мощными победами!
Пусть интернет будет стабильным, fps высоким, а ping низким!
#CyberBonch #спбгут #бонч #spbsut","Дорогие друзья и киберспортмены!
Киберспортивный клуб “CyberBonch” поздравляет вас с новым годом!
Желаем вам новых свершений, удач и побед!
Готовы к следующему десятилетию?
В",https://sun9-38.userapi.com/c858436/v858436952/13a1d5/gnalGktFmkc.jpg,567,1577955613
130449359_4397,130449359_4397,Киберспорт Ярославль | DYSU Esports,130449359,4397,vk.com/wall-130449359_4397,#dysu #newyear2020@dysuesports #киберспортярославль #dysuesports,"#dysu #newyear2020@dysuesports #киберспортярославль #dysuesports

🎄С Новым Годом, киберспортсмены!🎄 Прежде чем встретить его, мы, как и все остальные, решили подвести итоги нашей плодотворной работы за 2019 год.💪 Итак, за это время мы успели провести турниры по Dota 2, CS:GO, Hearthstone, PUBG и крупные турниры по FIFA19 и NHL19. Побывали на Epicenter Major в роли СМИ 😎, а двое наших коллег получили судейские квалификации от ФКС России. Изрядно подняли качество трансляций, обзавелись своей тренировочной базой, обрели полезные знакомства, определили сильнейших игроков ЯрГУ, а так же заложили фундамент для развития студенческого киберспорта в нашем городе. Ну и как же не упомянуть ребрендинг и смену логотипа. 

🥂Друзья, это был достаточно хороший год, со своими проблемами, которые пойдут нам в опыт, и, конечно же, с потрясными турнирами, которые нам запонятся на долго, но мы не хотим и не будем останавливаться. 🥂

Следующий год - 2020 - мы объявляем годом студенчества ✍️, что означает для нас работу со всеми Вузами и Сузами города. Не забудем и про обычных работяг и школьников, планов много, постараемся все реализовать. 

🎉Удачи вам в новом году, и до новых встреч на еще более крутых ивентах. С любовью, ваша орг.команда DYSU ESPORTS. 🎉","#dysu #newyear2020@dysuesports #киберспортярославль #dysuesports

🎄С Новым Годом, киберспортсмены!🎄 Прежде чем встретить его, мы, как и все остальные, решили подвести итоги нашей",https://sun9-19.userapi.com/c857320/v857320201/a2074/6iLm0cKcwaA.jpg,560,1577816564
164178862_610,164178862_610,Киберспортивная лига ТюмГУ,164178862,610,vk.com/wall-164178862_610,🔥 ИТОГИ ГОДА,"🔥 ИТОГИ ГОДА

<a href=""vk.com/club164178862"">Киберспортивная лига ТюмГУ</a> уже третий раз подводит итоги. С каждым годом у нас все больше и больше мероприятий, турниров, игроков, а самое главное — желания идти вперед. Посмотрим, на какие вершины мы забрались!

⚡ Сражались на региональном этапе ВКСЛ, где вышли на финал зонального этапа:
🔫 CS:GO
👾 Dota 2
🃏 Artifact
👨‍🎤 Warface
🀄 Hearthstone

⚡ В этом году мы провели турниры по дисциплинам:
⚽ UFC3
👊🏻 Mortal Kombat XL и 11
💪🏻Tekken7
👾 Dota 2
👨‍🚀 Starcraft II 
💫OSU!

⚡ Расширяем пул дисциплин:
League of Legends
Overwatch

⚡ Появился новый дизайн формы для наших киберспортсменов

⚡ Члены нашей команды стали аккредитованными судьями

⚡ Провели отборочные турниры игроков ТюмГУ, для финала студенческой киберспортивной лиги 2019, по дисциплинам:
🔫 CS:GO 
🀄 Hearthstone
🤴 Clash Royale 
🌲 Warcraft III: Frozen Throne
👾 Dota 2

⚡Выиграли финал студенческой киберспортивной лиги 2019. Наши игроки получили право представлять Тюменскую область в четвертом сезоне ВСКЛ 2020 году, где смогут сразиться за призовой фонд 2 000 000 рублей!

Выражаем огромную благодарность всем, кто следит за нами, болеет за киберспортсменов, помогал, участвовал в наших турнирах! 

<a href=""vk.com/club164178862"">Киберспортивная лига ТюмГУ</a> поздравляет всех с наступающим Новым годом! 

#ОпираясьНаОпытПрошлыхЛет #eleagueutmn","🔥 ИТОГИ ГОДА

[club164178862|Киберспортивная лига ТюмГУ] уже третий раз подводит итоги. С каждым годом у нас все больше и больше мероприятий,",https://sun9-34.userapi.com/c204720/v204720277/24f62/6i_v_qcGt9E.jpg,432,1577781300
168608653_453,168608653_453,Киберклуб ЧГУ им. И. Н. Ульянова,168608653,453,vk.com/wall-168608653_453,🎄С наступающим новым годом! ,"🎄С наступающим новым годом! 
  
 Надеемся, вы все стали лучшими версиями себя в этом уходящем году, и верим, что наше дело помогло вам всем найти новых друзей, товарищей по команде, а кому-то даже любовь всей своей жизни!
  
🎁Желаем всем хороших новогодних каникул. Нас ждёт очень плодотворный год и куча мероприятий!
#GLHF","🎄С наступающим новым годом! 
  
 Надеемся, вы все стали лучшими версиями себя в этом уходящем году, и верим,",https://sun9-61.userapi.com/c200720/v200720983/295d2/f61GWDBlzCM.jpg,416,1577820300
171177504_577,171177504_577,USATU eSports,171177504,577,vk.com/wall-171177504_577,"И вот наступил тот день, когда админ вместо фрагов нарезает салаты.","И вот наступил тот день, когда админ вместо фрагов нарезает салаты.
Команда USATU eSports от всей души поздравляет всех с наступающим 2020 годом! Пусть он принесет радость и согласие в ваш дом, откроет новые профессиональные и личные перспективы. 
Планируйте и творите. Преуспевайте и ошибайтесь. Такой год бывает раз в сто лет - когда же начинать, как не сейчас😉","И вот наступил тот день, когда админ вместо фрагов нарезает салаты.
Команда USATU eSports от всей души поздравляет всех с наступающим",https://sun9-69.userapi.com/c858532/v858532353/9993e/GG44LYWyKxU.jpg,406,1577803358
78627305_3896,78627305_3896,КиберВышка,78627305,3896,vk.com/wall-78627305_3896,КиберВышка поздравляет всех с наступающим Новым Годом! ,"КиберВышка поздравляет всех с наступающим Новым Годом! 

Желаем вам в новом году успехов, нужного ранга , а также хороших тиммейтов не только в играх, но и в жизни! :)

Спасибо всем, кто болел и болеет за родную команду университета. Спасибо всем, кто участвует в турнирах, и кому не безразлична наша деятельность. Этот год был трудным, но интересным, и главное, что он был полон новых свершений и достижений. Надеемся, что в следующем будет еще жарче и круче! 
 
Увидимся в 2020!!!","КиберВышка поздравляет всех с наступающим Новым Годом! 

Желаем вам в новом году успехов, нужного ранга , а также хороших тиммейтов",https://sun9-65.userapi.com/c206628/v206628503/25c1c/qXwu4F7OBZ8.jpg,399,1577815211
141935921_1982,141935921_1982,Киберспорт в Политехническом,141935921,1982,vk.com/wall-141935921_1982,"2019 год подходит к концу, и <a href=""vk.com/club141935921"">Киберспорт в Политехническом</a> спешит поздравить всех с наступающими праздниками! ","2019 год подходит к концу, и <a href=""vk.com/club141935921"">Киберспорт в Политехническом</a> спешит поздравить всех с наступающими праздниками! 

Желаем вам всегда быть первыми! 

Мечтайте, дерзайте, творите, ведь если верить в себя и людей, которые рядом, можно покорить самые высокие вершины. 
Главное — поставить верную цель и следовать к ней, не сворачивая на пути. Цените тех, кто идёт рука об руку с вами, помогает и поддерживает в любых начинаниях, верит и ценит, несмотря ни на что. 
Пусть все ваши самые смелые идеи и начинания воплотятся в жизнь. 
Пусть уходящий год оставит после себя все самое ценное и счастливое, а все плохие моменты оставят после себя только уроки на будущее. 
Этот год был непростой, но очень интересный для нас, и мы благодарим всех игроков и болельщиков, которые были с нами весь этот год. 

С наступающим!","2019 год подходит к концу, и [club141935921|Киберспорт в Политехническом] спешит поздравить всех с наступающими праздниками! 

Желаем вам всегда быть первыми!",https://sun9-16.userapi.com/c857336/v857336600/9e3c6/cR8l7iGiW9A.jpg,375,1577815216
178785670_300,178785670_300,VSTU Cybersport,178785670,300,vk.com/wall-178785670_300,"Что же, вот и подходит к концу этот год, уверена 2019 год оставил много хороших воспоминаний и по своему радовал каждого. Мы поздравляем вас с наступающим 2020 годом, желаем успехов в ваших дисциплинах, новых побед и ничуть не менее зрелещных турниров.","Что же, вот и подходит к концу этот год, уверена 2019 год оставил много хороших воспоминаний и по своему радовал каждого. Мы поздравляем вас с наступающим 2020 годом, желаем успехов в ваших дисциплинах, новых побед и ничуть не менее зрелещных турниров.

Уверены, есть люди которые будут играть все каникулы, поэтому в скором времени выйдет пост, где сможете найти себе соигрока. А вот какие игры будут, пока что маленький секрет для вас. Чем больше лайков, тем больше вероятность, что будет именно твоя игра.","Что же, вот и подходит к концу этот год, уверена 2019 год оставил много хороших воспоминаний и по своему радовал",https://sun9-62.userapi.com/c205224/v205224672/25df2/QgOv862p2ug.jpg,356,1577816316
154558414_1147,154558414_1147,Киберспортивный клуб УГНТУ,154558414,1147,vk.com/wall-154558414_1147,🎄 С Новым 2020 годом!,"🎄 С Новым 2020 годом!

✨ Киберспортивный клуб УГНТУ поздравляет всех с Новым 2020 годом! Желаем исполнению задуманных планов, чудесного решения сложных ситуаций! Здоровья, лёгкости в жизни и отсутствия проблем! Всем игрокам — быть высокого уровня по скиллу, всем студентам и школьникам — легкой учёбы!

❄ Для нашего клуба этот год стал по-настоящему волшебным, и без вас всего этого бы не состоялось. Будем рады видеть вас в наших рядах и на наших мероприятиях в будущем и верим, что ваша поддержка будет столь же яркой, как в минувшем году!

🔥 Новых побед и достижений всем нам! С Новым 2020 годом!

#новости@usptu_esports #УГНТУ #киберспорт #Башкортостан #НовыйГод #2020","🎄 С Новым 2020 годом!

✨ Киберспортивный клуб УГНТУ поздравляет всех с Новым 2020 годом! Желаем исполнению задуманных планов, чудесного решения",https://sun9-61.userapi.com/c854428/v854428708/1b0754/A6xpgWV72Ok.jpg,347,1577782821
66657438_1320,66657438_1320,Киберспорт | ССК «Сенатор» РАНХиГС,66657438,1320,vk.com/wall-66657438_1320,Сборная киберспорта ССК «Сенатор» РАНХиГС поздравляет вас с наступающим Новым 2020 годом!,"Сборная киберспорта ССК «Сенатор» РАНХиГС поздравляет вас с наступающим Новым 2020 годом!

Мы хотим поблагодарить каждого из вас. Всех тех, кто участвовал в отборах, следил за нами с соцсетях и поддерживал на соревнованиях. 
Мы желаем вам всем в этом году больше новых интересных знакомств, крепкого здоровья и самое главное — счастья. 
Пусть всё то, что вы загадаете в новогоднюю ночь обязательно сбудется! 

С любовью и уважением, сборная киберспорта ССК «Сенатор» РАНХиГС 🦁🎮","Сборная киберспорта ССК «Сенатор» РАНХиГС поздравляет вас с наступающим Новым 2020 годом!

Мы хотим поблагодарить каждого из вас. Всех тех, кто",https://sun9-14.userapi.com/c205224/v205224774/25894/m6Se372-xiE.jpg,202,1577786411
67881580_7237,67881580_7237,Кибер Арена РУТ(МИИТ),67881580,7237,vk.com/wall-67881580_7237,"Дорогие друзья, поздравляем Вас с наступающим Новым 2020 годом ,это был тяжёлый год,но мы справились.🎆","Дорогие друзья, поздравляем Вас с наступающим Новым 2020 годом ,это был тяжёлый год,но мы справились.🎆
Всем хорошего года,хорошего настроения и хорошей игры!🎉
Ведь,как говорится:""Как встретишь Новый год - так его и проведешь""🎄","Дорогие друзья, поздравляем Вас с наступающим Новым 2020 годом ,это был тяжёлый год,но мы справились.🎆
Всем хорошего года,хорошего настроения и хорошей",https://sun9-72.userapi.com/c200416/v200416151/265b2/fFtHojX4mmE.jpg,194,1577812687
